(35, ((('cue', (0.21693878511868592, 0.9201695723138884)), ('blue', (0.7788284973747311, 0.39292478768871597)), ('yellow', (0.8879131020344805, 0.6824523619923436)), ('red', (0.7114242598057027, 1.716250704239587))), 'pot yellow ball into bottom_right pocket directly')), Success Rate: 5 / 100 = 0.05
(36, ((('cue', (0.39117783205072487, 1.4453711346926827)), ('blue', (0.7210439297134129, 1.0682660528672303)), ('red', (0.5699619059156614, 0.49488792151669836)), ('yellow', (0.5557267924095076, 1.8848868115427855))), 'pot red ball into bottom_right pocket with a bank shot')), Success Rate: 45 / 100 = 0.45
(37, ((('cue', (0.08267929092972168, 0.47460351660784095)), ('red', (0.06641235957209095, 0.7377368807943453)), ('blue', (0.6776352392183232, 1.6160429311925724)), ('yellow', (0.08545721205978524, 0.8737875754313187))), 'pot red ball into bottom_left pocket indirectly')), Success Rate: 0 / 100 = 0.0
(38, ((('cue', (0.8938810049150495, 0.3033743064646255)), ('blue', (0.6049176820172978, 1.3255645953043176)), ('yellow', (0.14540355989630416, 0.4557877935548237)), ('red', (0.5203558728744021, 1.3407842892459025))), 'pot yellow ball into bottom_right pocket with a bank shot')), Success Rate: 0 / 100 = 0.0
(39, ((('cue', (0.8417802223904819, 0.684818645688861)), ('yellow', (0.9753425023536794, 0.5423059084977072)), ('red', (0.9015772187936476, 0.617380870285988)), ('blue', (0.25871720018097666, 0.46999817131149524))), 'pot red ball into top_left pocket with a bank shot')), Success Rate: 0 / 100 = 0.0
(40, ((('cue', (0.548683583644688, 0.9506813179235315)), ('yellow', (0.04569721449669354, 1.3088139381397803)), ('blue', (0.5118097663712807, 1.6545300296580103)), ('red', (0.8967935111101523, 0.3989595746553367))), 'pot blue ball into top_right pocket indirectly')), Success Rate: 12 / 100 = 0.12
(41, ((('cue', (0.8485618684884104, 1.5990842313277007)), ('blue', (0.43321680248200156, 0.22676191253604508)), ('yellow', (0.6638615892667732, 1.7970165471657247)), ('red', (0.5081859898252691, 1.0554369876278025))), 'pot blue ball into top_left pocket indirectly')), Success Rate: 5 / 100 = 0.05
(42, ((('cue', (0.5446776969334959, 0.635971010787001)), ('red', (0.5841110903385986, 1.240435245136687)), ('blue', (0.3702743196241193, 0.8155203696402165)), ('yellow', (0.06994695765505692, 1.3375787083064365))), 'pot red ball into top_left pocket directly')), Success Rate: 75 / 100 = 0.75
(43, ((('cue', (0.8002732745937083, 1.1768038115786041)), ('yellow', (0.15314675872238526, 1.4153349432238045)), ('red', (0.07810350282854985, 1.7491985169010311)), ('blue', (0.5662171925396253, 0.3305524976285783))), 'pot yellow ball into top_left pocket with a bank shot')), Success Rate: 0 / 100 = 0.0
(44, ((('cue', (0.5108775797420444, 0.908737830137174)), ('blue', (0.4664781520645901, 1.067543338032832)), ('red', (0.2812380431118982, 1.3815634491314022)), ('yellow', (0.3358020248121707, 0.5260121221383781))), 'pot yellow ball into bottom_right pocket indirectly')), Success Rate: 53 / 100 = 0.53
(45, ((('cue', (0.6947577708215034, 1.0205095545233047)), ('yellow', (0.9480243958870793, 1.0501515100017846)), ('red', (0.6737077910769937, 1.9319743612828169)), ('blue', (0.5437534608682698, 1.744620559313139))), 'pot red ball into top_right pocket with a bank shot')), Success Rate: 13 / 100 = 0.13
(46, ((('cue', (0.4071381426200068, 0.8675096387465373)), ('red', (0.9245314489574934, 1.7995720544636602)), ('blue', (0.6723052541400956, 0.36788651161274144)), ('yellow', (0.3351186494348286, 0.09276018442787665))), 'pot yellow ball into bottom_left pocket with a bank shot')), Success Rate: 24 / 100 = 0.24
(47, ((('cue', (0.8876367540787622, 0.43890675190617223)), ('yellow', (0.5273216872396664, 1.519109651882442)), ('red', (0.517169719077363, 0.4390623013796062)), ('blue', (0.051513454388531874, 0.876476009603768))), 'pot red ball into top_right pocket indirectly')), Success Rate: 0 / 100 = 0.0
(48, ((('cue', (0.8047037773763982, 1.5032628037247657)), ('red', (0.9722600195922128, 1.2142680681232811)), ('yellow', (0.13068013602750173, 1.2797038124046194)), ('blue', (0.5036594814862649, 1.087964973582223))), 'pot red ball into bottom_right pocket directly')), Success Rate: 0 / 100 = 0.0
(49, ((('cue', (0.7142859159190663, 1.1924480394036965)), ('blue', (0.22039442769481615, 1.1928309948456801)), ('yellow', (0.6918867752136364, 0.603850223290505)), ('red', (0.49842331713377597, 0.4668254371371273))), 'pot yellow ball into top_left pocket indirectly')), Success Rate: 1 / 100 = 0.01
(50, ((('cue', (0.6136584387045724, 1.915440471590469)), ('yellow', (0.6422251737244019, 0.8984594365570517)), ('blue', (0.6486951428959783, 0.4729407895352049)), ('red', (0.8830550832832363, 1.0620533592166574))), 'pot yellow ball into middle_left pocket with a bank shot')), Success Rate: 0 / 100 = 0.0
(51, ((('cue', (0.1886331352686696, 1.9307171661057143)), ('blue', (0.3262251959770046, 0.4359552155949675)), ('red', (0.9376403057551703, 1.8571386574690136)), ('yellow', (0.626601908810012, 1.4729961998453232))), 'pot red ball into bottom_right pocket with a bank shot')), Success Rate: 0 / 100 = 0.0
(52, ((('cue', (0.447154953952123, 0.5615613172328823)), ('yellow', (0.06983171273771195, 1.629061371268257)), ('red', (0.0974651947673684, 0.7558215205552542)), ('blue', (0.49204434101255223, 1.676396152754595))), 'pot blue ball into top_left pocket directly')), Success Rate: 38 / 100 = 0.38
(53, ((('cue', (0.14693411996055386, 0.29004830894450995)), ('yellow', (0.44588894140790003, 1.8725439416632892)), ('red', (0.3850103220123451, 1.6892887884089782)), ('blue', (0.7042384926916251, 0.8446997591501095))), 'pot red ball into bottom_left pocket with a bank shot')), Success Rate: 0 / 100 = 0.0
(54, ((('cue', (0.8908121857750102, 0.45794135420698323)), ('yellow', (0.33379836745077673, 1.8757257969984553)), ('blue', (0.596541407033345, 0.9274389109209626)), ('red', (0.9723593989807255, 1.5725118916999496))), 'pot blue ball into bottom_left pocket indirectly')), Success Rate: 3 / 100 = 0.03
(55, ((('cue', (0.8588081296077428, 1.5479244896206708)), ('blue', (0.11953494488389046, 1.844834541397395)), ('yellow', (0.07231035857947388, 1.1098219120520136)), ('red', (0.18475272583306962, 1.177968638842952))), 'pot red ball into bottom_left pocket directly')), Success Rate: 13 / 100 = 0.13
(56, ((('cue', (0.6164912624214712, 1.9306689334719762)), ('yellow', (0.06296935490426467, 1.7790496597766738)), ('blue', (0.13451065975121712, 0.05893978513257253)), ('red', (0.4769112446986994, 0.6298972324956468))), 'pot yellow ball into bottom_left pocket indirectly')), Success Rate: 4 / 100 = 0.04
(57, ((('cue', (0.24728520496953374, 0.38762884144977905)), ('red', (0.16612767568721193, 0.40464183269995635)), ('yellow', (0.30221267184205736, 1.4477579603378636)), ('blue', (0.35980560936707406, 0.43779177552731185))), 'pot blue ball into bottom_right pocket indirectly')), Success Rate: 1 / 100 = 0.01
(58, ((('cue', (0.4482651200154253, 1.1216721496937136)), ('yellow', (0.15737459612642826, 0.8643381868108405)), ('red', (0.39822027449776043, 1.5034545754000215)), ('blue', (0.7009758577922319, 0.9916435458005269))), 'pot red ball into bottom_left pocket with a bank shot')), Success Rate: 0 / 100 = 0.0
(59, ((('cue', (0.17565711220608202, 1.8843473195339353)), ('blue', (0.16558742324055348, 0.6193382692572544)), ('red', (0.6231745524568363, 0.06271017150151051)), ('yellow', (0.8618318459668965, 0.2492364180536771))), 'pot yellow ball into bottom_left pocket indirectly')), Success Rate: 14 / 100 = 0.14
(60, ((('cue', (0.509202164376657, 0.98206616810824)), ('red', (0.6883004562079341, 1.0773432541784707)), ('blue', (0.6306153239871073, 1.1903012246934017)), ('yellow', (0.18065936873282246, 0.7439448830484642))), 'pot red ball into bottom_right pocket indirectly')), Success Rate: 0 / 100 = 0.0
(61, ((('cue', (0.8230988809940476, 1.8008798689195078)), ('blue', (0.33495179418309085, 1.2311769438266595)), ('red', (0.7824907260373484, 1.7380502316479505)), ('yellow', (0.9506292088277819, 0.8683205016698683))), 'pot blue ball into top_left pocket indirectly')), Success Rate: 0 / 100 = 0.0
(62, ((('cue', (0.876061858508789, 1.5118590049641616)), ('red', (0.5941887475042285, 0.6500041376134866)), ('blue', (0.1014082186720165, 0.9011278310210759)), ('yellow', (0.6559675003833458, 0.1084936881061169))), 'pot red ball into top_left pocket indirectly')), Success Rate: 20 / 100 = 0.2
(63, ((('cue', (0.6872179696910736, 0.05867365565053244)), ('red', (0.5292895079722428, 0.5584263220525268)), ('yellow', (0.3208617666851534, 1.2629557837222014)), ('blue', (0.5910901310570268, 1.3146942254324558))), 'pot blue ball into top_right pocket directly')), Success Rate: 78 / 100 = 0.78
(64, ((('cue', (0.0851529142417255, 0.3220766215315749)), ('blue', (0.09356461529210561, 0.5776362141463249)), ('red', (0.520223909140645, 0.3126518362594096)), ('yellow', (0.34383132639593195, 0.08935226313310968))), 'pot blue ball into top_left pocket directly')), Success Rate: 14 / 100 = 0.14
(65, ((('cue', (0.4859862288028184, 1.9242757307441214)), ('yellow', (0.23523829701527363, 1.0919665953556883)), ('blue', (0.4124112910103792, 0.41447831146841974)), ('red', (0.556312569992699, 1.6466898921260484))), 'pot red ball into middle_left pocket directly')), Success Rate: 27 / 100 = 0.27
(66, ((('cue', (0.08423273188939273, 1.795756382625017)), ('yellow', (0.11935084267259927, 0.8787628190393426)), ('red', (0.11491740791667227, 1.1436010739579596)), ('blue', (0.652676002997376, 1.2885965922889282))), 'pot red ball into top_left pocket with a bank shot')), Success Rate: 0 / 100 = 0.0
(67, ((('cue', (0.06605269683881439, 1.216434968632974)), ('blue', (0.5908023339034348, 1.7979360203936061)), ('red', (0.09213871194488973, 1.0191572869825292)), ('yellow', (0.5100974534854843, 0.2907268796400364))), 'pot blue ball into middle_left pocket with a bank shot')), Success Rate: 1 / 100 = 0.01
